PCIR
App Issue | App Lag issue | T/S Shared - Asked to Retry
LAMF-Active Loan | I have been charged incorrect processing fee | L2C: Charged incorrect processing fee
LAMF-Active Loan | Incorrect Bounce Charges levied | L2C: charged incorrect Bounce Charges
LAMF-Active Loan | Incorrect Interest levied | L2C: Charged incorrect interest fee
LAMF-Active Loan | Incorrect Penal Interest levied | L2C: Charged incorrect Penal interest
LAMF-Active Loan | Loan amount not matching with market value | Informed to pledge additional portfolio/repay shortfall amt
LAMF-Active Loan | Received a different amount than what I requested | Informed about processing fee
LAMF-Active Loan | Received a different amount than what I requested | L2C: Received a different amount than what I requested
LAMF-Active Loan | Repayment done but status not updated on Jupiter | L2C: Repayment done but status not updated on Jupiter
LAMF-Active Loan | Repayment done but status not updated on Jupiter | Requested to wait for TAT
LAMF-Active Loan | Unable to remove lien on my complete portfolio | Informed about TAT
LAMF-Active Loan | Unable to remove lien on my complete portfolio | L2C: Unable to remove lien
LAMF-Active Loan | Want to cancel withdrawal request | Infomed feature unavailable
LAMF-Active Loan | What are bounce charges | Informed about insufficient balance
LAMF-Active Loan | What are Overdue interest charges | Informed the charges
LAMF-Active Loan | What are the int charges | Informed the quantum & frequency
LAMF-Active Loan | What are the lien removal charges | Informed no charges applicable
LAMF-Active Loan | What are the limit increase charges | Informed the amount
LAMF-Active Loan | What are the loan foreclosure charges | Informed no foreclosure charges
LAMF-Active Loan | What is penal interest | Informed int / principal payment is overdue
LAMF-Active Loan | What is the processing fee | Informed about the charge
LAMF-Active Loan | When will my interest be deducted | Informed the timelines
LAMF-Active Loan | When will my processing fee be deducted | Informed fee is deducted during 1st withdrawal/mandate
LAMF-Active Loan | Where can I check the reg bank A/C | Informed the process & current bank a/c
LAMF-Active Loan | Why are my funds lien marked | Informed the reason
LAMF-Active Loan | Why is my int rate changed | Informed it is in accordance with Repo Rate
LAMF-Active Loan | Why is my int rate changed | L2C: Interest rate change related
LAMF-Active Loan | Withdrawal has not yet been settled | L2C: Withdrawal has not yet been settled
LAMF-Active Loan | Withdrawal has not yet been settled | Requested to wait for TAT
"LAMF-Active Loan | Withdrawal is marked as settled, but money not received | L2C: withdrawal is marked as settled, but money not received"
"LAMF-Active Loan | Withdrawal is marked as settled, but money not received | Requested to wait for TAT"
LAMF-Application Process | Application blocked due to Aadhar PAN mismatch | L2C: Application Blocked
LAMF-Application Process | Application blocked post KYC completion | L2C: Application Blocked
LAMF-Application Process | Dispute on Eligibility Limit/ Value Shown | L2J: Dispute on Eligibility Limit/ Value Shown
LAMF-Application Process | Entered OTP for agreement completion still stuck on same page | L2C:Entered OTP for agreement completion still stuck on same page
LAMF-Application Process | How to apply | Informed the process
LAMF-Application Process | KYC-Unable to get OTP | Informed number should be linked to AAdhar & active
LAMF-Application Process | KYC-Unable to get OTP | Informed to retry later / good network
LAMF-Application Process | KYC-Unable to get OTP | L2C: Aadhar OTP not recieved
LAMF-Application Process | KYC-Unable to verify Pan Card | Informed to check for capital letters
LAMF-Application Process | KYC-Unable to verify Pan Card | L2C: Unable to verify Pan Card
LAMF-Application Process | Not getting the OTP to complete my agreement | Informed about pre - requisites
LAMF-Application Process | Not getting the OTP to complete my agreement | L2C: Not getting the OTP to complete my agreement
LAMF-Application Process | Partial details have been fetched | Informed to fetch details from kfintech & CAMS
LAMF-Application Process | Partial details have been fetched | Informed to retry with reg phone number
LAMF-Application Process | Partial details have been fetched | Informed we dont support Demat A/c
LAMF-Application Process | Partial details have been fetched | L2C: Complete Portfolio not visible
LAMF-Application Process | Pledging-Unable to get OTP | Informed number should be active
LAMF-Application Process | Pledging-Unable to get OTP | Informed to retry later / good network
LAMF-Application Process | Pledging-Unable to get OTP | L2C: OTP Related Issues
LAMF-Application Process | Status not updated in Jupiter | L2C: Bank confirmed registration but Jupter status not updated
LAMF-Application Process | Unable to check eligibility | L2J: Eligibility page Techissue
LAMF-Application Process | Unable to fetch details | L2C: Unable to fetch
LAMF-Application Process | Unable to fetch details | Unable to fetch details using Email ID
LAMF-Application Process | Unable to fetch details | Unable to fetch details using Pan Card
LAMF-Application Process | Unable to fetch details | Unable to fetch details using Phone Number
LAMF-Application Process | Unable to fetch portfolio | Informed the reason
LAMF-Application Process | Unable to fetch portfolio | L2C: Unable to fetch portfolio
"LAMF-Application Process | Unable to get OTP for registeration | Informed to ensure number is active,has a good network"
LAMF-Application Process | Unable to get OTP for registeration | L2C: OTP not received on Email/Mobile
LAMF-Application Process | Unable to register bank mandate during registration | Informed to enter alternate bank a/c
LAMF-Application Process | Unable to register bank mandate during registration | Informed to enter correct IFSC code
LAMF-Application Process | Unable to register bank mandate during registration | L2C: Unable to register bank mandate
LAMF-Application Process | Unable to verify my bank account during registration | Informed for activation / enetring corret details
LAMF-Application Process | Unable to verify my bank account during registration | Informed to enter alternate bank a/c
LAMF-Application Process | Unable to verify my bank account during registration | L2C: Unable to verify bank A/C
LAMF-Application Process | Want to add / remove / change the funds that I want to pledge | Informed the process
LAMF-Application Process | What is mentioned in the agreement | Informed about the agreement details
LAMF-NOC | NOC for active loan | Informed to wait for TAT
LAMF-NOC | NOC for active loan | L2C: Didnt recieve NOC
LAMF-NOC | NOC for inactive loan | Informed the process
LAMF-Others | Others | Others
LAMF-Product Enquiries | How to utilise LAMF | Informed about the usage
LAMF-Product Enquiries | What are the charges applicable | Informed about the applicable charges
LAMF-Product Enquiries | What is my approved limit | Informed the approved limit
LAMF-Product Enquiries | What is my eligibility | Informed if the user is eligible or not
Loan - Application Related | EMI Date selection related | General inquiry - Info given
Loan - Application Related | eNACH AutoPay Setup | Bank Not Supported for eNACH
Loan - Application Related | eNACH AutoPay Setup | Failed - Account Name Mismatch
Loan - Application Related | eNACH AutoPay Setup | Failed - Frozen Account
Loan - Application Related | eNACH AutoPay Setup | Failed - Incorrect Bank Details
Loan - Application Related | eNACH AutoPay Setup | Reciepient account is inactive
"Loan - Application Related | eNACH AutoPay Setup | Successful - Informed about next step, disbursement"
Loan - Application Related | Feature related enquiry for loans | Cancel my loan
Loan - Application Related | Feature related enquiry for loans | Change of repayment date via app
Loan - Application Related | Feature related enquiry for loans | Download NOC via app
Loan - Application Related | Feature related enquiry for loans | Other features
Loan - Application Related | L2J: Account Verification issue | Escalated to Tech to Cure the Journey
Loan - Application Related | L2J: Disputes related to Risk Rejection | Escalated to Tech
Loan - Application Related | L2J: EMI Date selection related | Unable to change repayment date - Escalated to Tech
Loan - Application Related | L2J: Loan attached Insurance related issue | Escalated to Tech
Loan - Application Related | L2J: Regarding promotional comms | Escalated to Tech for User Id to be removed from list
Loan - Application Related | L2J: Unable to setup AutoPay | Escalated to Tech
Loan - Application Related | L2J: Unable to setup eNACH | Escalated to Tech
Loan - Application Related | Loan attached Insurance related | Cancellation related - routed to merchant
Loan - Application Related | Loan attached Insurance related | General inquiry - Info given
Loan - Application Related | Regarding promotional comms | Info given
Loan - Application Related | Risk Rejection related | Redirect to app to check further
Loan - Application Related | VKYC Related Issues | Hard Reject - Cannot Retry
Loan - Application Related | VKYC Related Issues | Other error codes
Loan - Application Related | VKYC Related Issues | Soft Reject - Asked to Retry
Loan - Disbursement | Disbursement Failed | Asked for more details
Loan - Disbursement | Disbursement Failed | Failed - Account Name Mismatch
Loan - Disbursement | Disbursement Failed | Failed - Inactive or Frozen Account
Loan - Disbursement | Disbursement Failed | Others - Technical issue
Loan - Disbursement | Disbursement stuck in processing | Within 24 hours - Asked to wait
Loan - Disbursement | L2J: Disbursement is stuck in processing | Escalated to Tech
Loan - Disbursement | Loan Cancellation Request | After 3 days - educated the steps
Loan - Disbursement | Loan Cancellation Request | Within 3 days - educated the steps
Loan - Eligibility Related | Need higher amount | Redirect to app to check limit
Loan - Eligibility Related | Unable to apply | Redirect to app to check eligibility
Loan - Repayment | Customer is unable to repay | Financial Hardship
Loan - Repayment | Customer is unable to repay | Technical Issues
Loan - Repayment | CX anxious about repayment settlement | Repayment received - within 24 hours asked to wait
Loan - Repayment | CX asked to waive off fees | Option not available
Loan - Repayment | CX unable to do manual repayment | Asked for more details
Loan - Repayment | Early payment related | How to pay EMI early - educated the steps
Loan - Repayment | L2C: Collections - Behavior issue | Escalated to Collections for review
Loan - Repayment | L2C: Collections - Cx unable to repay | Escalated to Collections for review
Loan - Repayment | L2C: Collections - Cx want more time | Escalated to Collections for review
Loan - Repayment | L2J: Autopay failure issues | Escalated to Tech
Loan - Repayment | L2J: Deceased User | Escalated to Collections for review
Loan - Repayment | L2J: Early payment related | Unable to pay EMI early - Escalated to Tech
Loan - Repayment | L2J: Manual repayment issue | Escalated to Tech
Loan - Repayment | L2J: Partial SI related issue | Escalated to Tech
Loan - Repayment | L2J: Repayment related issues | After wait time - Escalated to Tech
Loan - Repayment | L2J: Repayment related issues | Escalated to Tech
Loan - Repayment | L2J: Repayment related issues | Escalated to Tech - Unable to convert into EMI
Loan - Repayment | L2J: Transaction Stuck in Progress/Processing issue | After wait time - Escalated to Tech
Loan - Repayment | Loan Top-Up/Repeat related enquiry | Redirect to app to check further
Loan - Repayment | Partial SI related enquiry | Balance repayment related
Loan - Repayment | Partial SI related enquiry | Charges related
Loan - Repayment | Pre-payment charges related enquiry | Informed about Pre-payment charges
Loan - Repayment | Repayment related enquiry | Can I change my repayment date?
Loan - Repayment | Repayment related enquiry | Difference in EMI amount
Loan - Repayment | Repayment related enquiry | Double debit related enquiry
Loan - Repayment | Repayment related enquiry | How to convert Loan into EMI?
Loan - Repayment | Repayment related enquiry | What is my repayment date?
Loan - Repayment | Transaction Stuck in Progress/Processing enquiry | Within 24 hours - asked to wait
Loan - Servicing | Bureau Related enquiries | TAT shared - CX needs to wait
Loan - Servicing | L2C: Bureau Reporting Issues | Escalated to Partner
Loan - Servicing | L2C: NOC Request | Request raised with partner
Loan - Servicing | L2J: Bureau Reporting Issues | Escalated to Tech
Loan - Servicing | L2J: NOC Request | Request raised to Tech
Loan - Servicing | Loan Account Details | Need Loan agreement - Shared with the customer
Loan - Servicing | Loan Account Details | Need SoA (Statement of Account) - currently unavailable
Loan - Servicing | Loan Account Details | Need the RoI details - Shared with the customer
Loan - Servicing | Loan Top-Up/Repeat related enquiry | Redirect to app to check further
Loan - Servicing | NOC Request | NOC shared
Loan - Servicing | NOC Request | Settled Loan - NOC cannot be provided
Loan VKYC - KYC issue | Agent Not Available Issue | Asked for more details
Loan VKYC - KYC issue | Agent Not Available Issue | Asked to retry
Loan VKYC - KYC issue | Agent Not Available Issue | L2J: Need to escalate
Loan VKYC - KYC issue | Device Issue / Screen Issue | Asked for more details
Loan VKYC - KYC issue | Device Issue / Screen Issue | Asked to retry
Loan VKYC - KYC issue | Device Issue / Screen Issue | L2J: Need to escalate
Loan VKYC - KYC issue | Disbursement related issue | Asked for more details
Loan VKYC - KYC issue | Disbursement related issue | Asked to retry
Loan VKYC - KYC issue | Disbursement related issue | L2J: Need to escalate
Loan VKYC - Pan Card Issue | Call Drop Related | Call Drop
Loan VKYC - Pan Card Issue | DoB mismatch | NSDL Correction needed
Loan VKYC - Pan Card Issue | Duplicate / Tampered card | Not valid
Loan VKYC - Pan Card Issue | ePAN related | Not valid
Loan VKYC - Pan Card Issue | Father's name mismatch | NSDL Correction needed
Loan VKYC - Process Enquiry | General Enquiry | Info given
Loan VKYC - Process Enquiry | How to do VKYC | Info given
"Loan VKYC - Process Enquiry | How to enable mic, camera etc | Info given"
Loan VKYC - Process Enquiry | Offline KYC Enquiry | Not available
Loan VKYC - VKYC Completed but Status Not Updated | After wait time | L2J: Need to escalate
Loan VKYC - VKYC Completed but Status Not Updated | CUSTOMER_ADDRESS_MISMATCH | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | CUSTOMER_DISCONNECTED | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | CUSTOMER_NAME_MISMATCH | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | CUSTOMER_UNAWARE_ABOUT_VKYC | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | DOB_MISMATCH | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | DUPLICATE_INVALID_TAMPERED_PAN | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | INCOMPATIBLE_CUSTOMER_DEVICE | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | INVOLVEMENT_THIRD_PARTY | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | LANGUAGE_BARRIER | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | MINOR_PAN | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | OTHER | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | PAN_PHOTO_MATCH_PER_LOW | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | SCRIPT_READING_BY_CUSTOMER | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | SUSPECTED_FRAUDULENT | Hard Reject - Cannot Retry
Loan VKYC - VKYC Completed but Status Not Updated | USER_INTERNET_WEAK | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | USER_OUTSIDE_INDIA | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | USER_UNABLE_TO_FOLLOW_INSTRUCTIONS | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | USER_WITHOUT_PAN | Soft Reject - Asked to Retry
Loan VKYC - VKYC Completed but Status Not Updated | Within wait time | Asked to wait
Magic Spends - Info & Details | How to cancel MS | Informed MS cannot be cancelled
Magic Spends - Info & Details | How to modify MS | Informed how to modify magic spends
Magic Spends - Info & Details | How to pause MS | Informed how to pause magic spends
Magic Spends - Info & Details | How to redeem DG via MS | Informed about DG redemption
Magic Spends - Info & Details | How to redeem MF via MS | Informed about MF Redemption
Magic Spends - Info & Details | How to resume MS | Informed how to resume magic spends
Magic Spends - Info & Details | How to set up MS | Informed how to set up magic spends
Magic Spends - Info & Details | How to stop MS | Informed how to stop magic spends
"Magic Spends - Rule Related | Did a txn, MS did not execute | Informed about non-federal a/c txn not getting accounted"
"Magic Spends - Rule Related | Did a txn, MS did not execute | Informed rule skipped due to insufficient bal"
"Magic Spends - Rule Related | Did a txn, MS did not execute | Informed rule skipped due to limit breach enquiry"
"Magic Spends - Rule Related | Did a txn, MS did not execute | L2C: Rule execution failure issue"
Magic Spends - Rule Related | Tech issue while redeeming via MS | L2J: Unable to redeem Magic Spends
Magic Spends - Rule Related | Unable to modify MS | L2C:Unable to modify MagicSpends
Magic Spends - Rule Related | Unable to pause MS | L2C: Unable to pause MS issue
Magic Spends - Rule Related | Unable to redeem DG | L2J: Unable to redeem gold issue
Magic Spends - Rule Related | Unable to redeem MF | L2C: Unable to redeem MF issue
Magic Spends - Rule Related | Unable to resume MS | L2C:Unable to resume MagicSpends
Magic Spends - Rule Related | Unable to set up MS | L2J:Unable to set up MagicSpends
Magic Spends - Rule Related | Unable to stop MS | L2C:Unable to stop MagicSpends
"Mutual Funds - HKYC investor issues | A/c closed, how to redeem | Redirected to MF Central / RTA / AMC"
"Mutual Funds - HKYC investor issues | A/c closed, redeemed money not redited | L2C: A/c closed, redeemed money not redited"
Mutual Funds - HKYC investor issues | how to complete VKYC | Redirected to SA CS
Mutual Funds - HKYC investor issues | Mandate status after A/C closure | Informed it will get cancelled
Mutual Funds - HKYC investor issues | Unable to add money | Redirected to SA CS
Mutual Funds - Info Details | Benefits | Informed about the benefits
Mutual Funds - Info Details | Fund has been discontinued | Informed fund house has stopped the further investment
Mutual Funds - Info Details | How to close MF account | Informed the process to redeem / cancel / alter bank a/c
Mutual Funds - Info Details | How to download tax report | Informed the process
Mutual Funds - Info Details | Investing terminology enquiry | Helped with the meaning
Mutual Funds - Info Details | Why SIP/OTI min value change | Informed change is as per AMC policy
Mutual Funds - Jupiter Portfolio | App technical issues | L2C: App Technical Issues
Mutual Funds - Jupiter Portfolio | App technical issues | Requested to update the app
Mutual Funds - Jupiter Portfolio | Can i invest if investment a/c is closed | Informedto start re-investing
Mutual Funds - Jupiter Portfolio | Incorrect details shown on dashboard | Informed the reason
Mutual Funds - Jupiter Portfolio | Incorrect details shown on dashboard | L2C: Incorrect details shown on dashboard
Mutual Funds - Jupiter Portfolio | Incorrect fund details | Informed the reason
Mutual Funds - Jupiter Portfolio | Incorrect fund details | L2C: Incorrect fund details
Mutual Funds - Jupiter Portfolio | Incorrect Units alloted | Informed the reason
Mutual Funds - Jupiter Portfolio | Incorrect Units alloted | L2C: Incorrect Units Alloted
Mutual Funds - Jupiter Portfolio | Is investing w jupiter safe | Assured investing is absolutely safe
Mutual Funds - Jupiter Portfolio | Recieved incorrect returns | Informed the reason
Mutual Funds - Jupiter Portfolio | Recieved incorrect returns | L2C: Recieved incorrect returns
Mutual Funds - Jupiter Portfolio | What will happen if my SA is closed | Investment option will be unavailable
Mutual Funds - KYC Related | How to complete Rekyc | Informed the process
Mutual Funds - KYC Related | How to complete SEBI KYC | Redirected to external platform
Mutual Funds - KYC Related | Rekyc option unavilable | Redirected to SBI
Mutual Funds - KYC Related | Why do I have to complete Rekyc | Informed the reason
Mutual Funds - NAV Related | NAV is not updated | Informed TAT(incase of downtimes)
Mutual Funds - NAV Related | NAV is not updated | L2C: Incorrect NAV
Mutual Funds - Non-Jupiter portfolio | How to switch current investments to Jupiter | Informed the flow
Mutual Funds - Non-Jupiter portfolio | How to track funds | Informed the process
Mutual Funds - Non-Jupiter portfolio | Incorrect/Missing investment data issue | L2C: Folio data mismatch
Mutual Funds - Non-Jupiter portfolio | Redeem process enquiry | Informed how to redeem
Mutual Funds - Non-Jupiter portfolio | Redeem process enquiry | L2C- Redemption issue
Mutual Funds - Non-Jupiter portfolio | Reinvest process enquiry | Informed about re-investment
Mutual Funds - Non-Jupiter portfolio | Unable to initiate tracking | Informed to onboard with reg email ID
Mutual Funds - Non-Jupiter portfolio | Unable to initiate tracking | L2C:Unable to initiate
Mutual Funds - Order Rejected-Redemption | Why is my order rejected | Informed the reason and flow
Mutual Funds - Order Rejected-Redemption | Why is my order rejected | L2C: Order Rejected
"Mutual Funds - Order Rejected-Redemption | Why is my order rejected | L2C: Order Rejected, reason unavailable in OV"
Mutual Funds - Order Rejected-SIP/OTI | Why is my order rejected | Informed the reason and flow
Mutual Funds - Order Rejected-SIP/OTI | Why is my order rejected | L2C: Order Rejected
Mutual Funds - OTI | Order not placed to AMC | L2C: Order not placed to AMC
Mutual Funds - OTI | OTI- Cancellation | Informed option unavailable
Mutual Funds - OTI | Payment failed but amount deducted | Informed to wait for TAT
Mutual Funds - OTI | Payment failed but amount deducted | L2C: Payment failed but amount deducted
Mutual Funds - OTI | Unable to add money for OTI to a fund | L2C: Unable to add money
Mutual Funds - OTI | Unable to make OTI for a fund | Informed OTI is unavailable
Mutual Funds - OTI | When will my units be allocated | Informed to wait for TAT
Mutual Funds - OTI | When will my units be allocated | L2C: Units not allocated
Mutual Funds - Redemption | Deductions on redemption | Informed about exit load
Mutual Funds - Redemption | Does my fund have a lock in? | Informed ELSS funds have a lock-in period
Mutual Funds - Redemption | How to redeem | Informed the process
Mutual Funds - Redemption | Incorrect deduction | L2C: Incorrect Deduction
Mutual Funds - Redemption | Recieved incorrect redemption credit | L2C: Incorrect Redemption credit issue
"Mutual Funds - Redemption | Redeemed units, money not credited | Informed about TAT"
"Mutual Funds - Redemption | Redeemed units, money not credited | L2C: Redemption amt not credited"
Mutual Funds - Redemption | Taxes applicable while redemption | Informed no taxes are applicable
Mutual Funds - Redemption | Why is redemption disbaled | Informed about ELSS funds
Mutual Funds - Redemption | Why is redemption disbaled | L2C: Redemption option disbaled
Mutual Funds - SIP | How to cancel SIP | Informed the process
Mutual Funds - SIP | How to modify | Informed the process
Mutual Funds - SIP | How to set up | Informed the process
"Mutual Funds - SIP | My SIP is skipped, what do I do | Suggested to do OTI/ alternatives"
Mutual Funds - SIP | SIP cancelled but money deducted | L2C: SIP cancelled (amt debited) issue
Mutual Funds - SIP | SIP is incorrectly skipped | L2C: SIP Incorrectly skipped
Mutual Funds - SIP | SIP order not placed | Informed TAT for order placement
Mutual Funds - SIP | SIP order not placed | L2C: SIP order not placed
"Mutual Funds - SIP | SIP skipped, amt debited | L2C: SIP Skipped but amt debited"
Mutual Funds - SIP | Unable to cancel SIP | L2C: Unable to cancel SIP
Mutual Funds - SIP | Unable to modify | Informed the process
Mutual Funds - SIP | Unable to set up | Informed reason for SIP unavailability
Mutual Funds - SIP | Unable to set up | L2C: SIP set-up option unavailable issue
Mutual Funds - SIP | Unable to set up | L2C: Unable to set up
Mutual Funds - SIP | When will my units be alocated | Informed about TAT
Mutual Funds - SIP | When will my units be alocated | L2C: Units not allocated issue
Mutual Funds - SIP | Why was my SIP skipped | Informed reason - balance shortfall
Mutual Funds -Onbaording | How to onbaord | Informed about the flow
Mutual Funds -Onbaording | Incorrect details captured | L2C: Incorrect details captured
Mutual Funds -Onbaording | Rewards for onbaording | Informed about the rewards structure
Mutual Funds -Onbaording | Unable to onbaord | L2C: Onboarding issue
Mutual Funds-Demographic | How to change address | Redirected to MF central
Mutual Funds-Demographic | How to change Email ID | Redirected to MF central
Mutual Funds-Demographic | How to change nominee | Redirected to MF central
Mutual Funds-Demographic | How to change phone number | Redirected to MF central
Mutual Funds-Demographic | Unable to change address | L2C: Address to be updated in KRA
Mutual Funds-Demographic | Unable to change Email ID | L2C: Email ID to be updated in KRA
Mutual Funds-Demographic | Unable to change nominee | L2C: Nominee to be updated in KRA
Mutual Funds-Demographic | Unable to change number | L2C: Number to be updated in KRA
Networth-Info& Details | How to add bank a/c | Informed about account addition
Networth-Info& Details | How to remove a/c | Informed about account deletion
Networth-Info& Details | How to utilise Networth | Informed about the feature and benefits
Networth-Usage | Incorrect value shown in bank balances | L2J: Incorrect bank balances shown
Networth-Usage | Incorrect value shown in DG | L2J: Incorrect DG balance shown
Networth-Usage | Incorrect value shown in FD | Informed abt int calculation
Networth-Usage | Incorrect value shown in FD | L2J: Incorrect FD balance shown
Networth-Usage | Incorrect value shown in Internal loans section | L2J: Incorrect Internal Loans value shown
Networth-Usage | Incorrect value shown in MF | L2J: Incorrect MF balance shown
Networth-Usage | Unable to add bank a/c | Informed about supported accounts
Networth-Usage | Unable to add bank a/c | L2J: Unable to add bank a/c
Networth-Usage | Unable to remove bank account | L2J: Unable to delete account
Offers - Offer Related | Coupon Related | Informed how to apply coupon
Offers - Offer Related | Coupon Related | L2J: Technical issues
Offers - Offer Related | Debit Card Related | Guided with offer details
Offers - Offer Related | Debit Card Related | Informed action is ineligible
"Offers - Offer Related | Debit Card Related | L2J: Action performed, Jwl not credited"
Offers - Offer Related | Debit Card Related | L2J: Technical issues
Offers - Offer Related | Investments Related | Guided with offer details
Offers - Offer Related | Investments Related | Informed action is ineligible
"Offers - Offer Related | Investments Related | L2J: Action performed, Jwl not credited"
Offers - Offer Related | Investments Related | L2J: Technical issues
Offers - Offer Related | Onboarding Related | Guided with offer details
Offers - Offer Related | Onboarding Related | Informed action is ineligible
"Offers - Offer Related | Onboarding Related | L2J: Action performed, Jwl not credited"
Offers - Offer Related | Onboarding Related | L2J: Technical issues
Offers - Offer Related | Payments Related | Guided with offer details
Offers - Offer Related | Payments Related | Informed action is ineligible
"Offers - Offer Related | Payments Related | L2J: Action performed, Jwl not credited"
Offers - Offer Related | Payments Related | L2J: Technical issues
Offers - Offer Related | Pro/Pro Salary Related | Guided with offer details
Offers - Offer Related | Pro/Pro Salary Related | Informed action is ineligible
"Offers - Offer Related | Pro/Pro Salary Related | L2J: Action performed, Jwl not credited"
Offers - Offer Related | Pro/Pro Salary Related | L2J: Technical issues
Offers - Offer Related | TPAP Related | Guided with offer details
Offers - Offer Related | TPAP Related | Informed action is ineligible
"Offers - Offer Related | TPAP Related | L2J: Action performed, Jwl not credited"
Offers - Offer Related | TPAP Related | L2J: Technical issues
Onboarding 2.0 - Eligibility | L2C: Waitlisted/All Seats taken issue | Child ticket raised
Onboarding 2.0 - Eligibility | Waitlisted/All Seats taken enquiry | Asked to wait
Onboarding 2.0 - Email Verification | Email id related enquiry | Educated the steps
Onboarding 2.0 - Email Verification | L2J: Email verification issue | Escalated to Tech
Onboarding 2.0 - Mobile verification | L2J: Mobile Verification related issue | Escalated to Tech
Onboarding 2.0 - Mobile verification | L2J: SMS Sending issue | Escalated to Tech
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Email could not be verified - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Looping post mpin entry - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Mobile number could not be verified - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Mobile. no could not be verified - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | OTP Not Received - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Screen Freeze on Phone Number Entry - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | SMS sending failed - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | SMS verification failed - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Something Snapped - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Something went wrong - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Stuck in Loop - T/S steps shared
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | This Device is Already Registered - T/S steps shared
"Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Verification failed, Technical Error - T/S steps shared"
Onboarding 2.0 - Mobile verification | Mobile Verification enquiry | Verifying mob with Federal - T/S steps shared
Onboarding 2.0 - Pan Verification | L2J: PAN related issue | Escalated to Tech
Onboarding 2.0 - Pan Verification | PAN related enquiry | Info given & redirected to NSDL website
Onboarding 2.0 - SA Liveliness | L2J: Liveliness technical issue | Escalated to Tech
Onboarding 2.0 - SA Liveliness | Liveliness rejected related enquiry | Asked to Retry
Onboarding 2.0 - SA Liveliness | Liveliness related enquiry | Informed about Liveliness process
Onboarding 2.0 - SA MPIN | L2J: MPIN related issue | Escalated to Tech
Onboarding 2.0 - SA MPIN | MPIN related enquiry | Informed about MPIN
Onboarding 2.0 - SA Onboarding | Aadhaar Not Linked to Mobile Number | Info given & redirected to UIDAI
Onboarding 2.0 - SA Onboarding | Aadhaar PAN name mismatch enquiry | Info given & redirected to UIDAI
Onboarding 2.0 - SA Onboarding | Aadhaar Verification related enquiry | Info given & redirected to UIDAI
Onboarding 2.0 - SA Onboarding | Account creation error enquiry | Address Unserviceable
Onboarding 2.0 - SA Onboarding | Account creation error enquiry | Survey Spam - Others
Onboarding 2.0 - SA Onboarding | Account creation error enquiry | System failure
Onboarding 2.0 - SA Onboarding | Account creation error enquiry | User registered with different number
Onboarding 2.0 - SA Onboarding | Application rejected enquiry | non - SFEC based error
Onboarding 2.0 - SA Onboarding | Application rejected enquiry | SFEC based error
Onboarding 2.0 - SA Onboarding | ETB customer enquiry | Info given
Onboarding 2.0 - SA Onboarding | Info & Details | Survey Spam - Others
Onboarding 2.0 - SA Onboarding | L2C: Aadhaar PAN name mismatch issue | Child ticket raised
Onboarding 2.0 - SA Onboarding | L2J: Aadhaar Not Linked to Mobile Number | Escalated to Tech
Onboarding 2.0 - SA Onboarding | L2J: Account creation error issue | Escalated to Tech
Onboarding 2.0 - SA Onboarding | L2J: Application rejected related issue | Escalated to Tech
Onboarding 2.0 - SA Onboarding | L2J: ETB customer related issue | Escalated to Tech
Other Tickets | Call back Request | Call back Request
